era,median_moran_I,pct_states_significant,n_states
1920s-40s,0.13626949516617554,0.8125,48
postwar boom,0.14714293608010776,0.8695652173913043,46
1965-1979,0.2951199300774264,0.9387755102040817,49
1980-1999,0.39189768223014687,0.9795918367346939,49
2000+,0.3042405619767542,0.9591836734693877,49
