suffix,era,n,hw_rank,lanes,maxspeed,sidewalk_pct,intx_density,way_length_m
Road,2000+,35078,2.0,2.0,35.0,0.022549746279719483,10.518956975950669,354.31658677298435
Run,1920s-40s,63,2.0,2.0,25.0,0.0,13.536206420719315,236.3564782461294
Run,postwar boom,60,2.0,,25.0,0.0,15.511037216015128,233.6285135397771
Run,1965-1979,221,2.0,2.0,25.0,0.00904977375565611,11.680553906014417,184.10220644469942
Run,1980-1999,328,2.0,2.0,25.0,0.021341463414634148,13.483642754363455,248.30304177724824
Run,2000+,259,2.0,2.0,25.0,0.03474903474903475,14.618059397391693,202.43299512413213
Street,1920s-40s,57085,2.0,2.0,25.0,0.06045370938074801,23.46613772273834,166.3724766835994
Street,postwar boom,13323,2.0,2.0,25.0,0.0364032124896795,18.49409041267551,195.70396295249083
Street,1965-1979,18954,2.0,2.0,25.0,0.0316028278991242,18.114129659480597,180.94087434881595
Street,1980-1999,13188,2.0,2.0,30.0,0.03207461328480437,18.503046561092567,172.77414206677614
Street,2000+,8693,2.0,2.0,25.0,0.12630852409985047,23.771360381141466,135.3984513265249
Terrace,1920s-40s,511,2.0,2.0,25.0,0.021526418786692758,17.18431820957046,158.70426547399225
Terrace,postwar boom,416,2.0,2.0,25.0,0.009615384615384616,12.211643133845968,187.14740530337247
Terrace,1965-1979,427,2.0,2.0,25.0,0.01639344262295082,12.235573227843842,175.76595440125308
Terrace,1980-1999,359,2.0,2.0,25.0,0.005571030640668524,11.86605621113867,185.74947593815
Terrace,2000+,189,2.0,2.0,25.0,0.015873015873015872,12.474451667582818,186.28844287179123
Trail,1920s-40s,4081,2.0,2.0,45.0,0.0002450379808870375,15.183647833986551,180.62014276588843
Trail,postwar boom,1934,2.0,2.0,25.0,0.0025853154084798345,15.965721043140839,163.56554808293438
Trail,1965-1979,4396,2.0,2.0,25.0,0.0011373976342129207,11.745272627229411,247.40274739622714
Trail,1980-1999,5341,2.0,2.0,25.0,0.004680771391125257,11.104566761566891,260.24316533059306
Trail,2000+,3081,2.0,2.0,25.0,0.008114248620577734,13.178390734372638,224.6378428152833
Turnpike,1920s-40s,429,7.0,3.0,70.0,0.0,16.882437316067087,144.59417324251302
Turnpike,postwar boom,311,6.0,3.0,67.5,0.0,22.399330145028568,155.3245596687165
Turnpike,1965-1979,524,6.0,3.0,70.0,0.003816793893129771,19.69668316385001,166.250458499807
Turnpike,1980-1999,440,6.0,3.0,70.0,0.0022727272727272726,16.937196634286323,181.10289211826228
Turnpike,2000+,232,6.0,3.0,70.0,0.004310344827586207,20.26321560884261,154.4101241179767
Walk,1920s-40s,91,2.0,,25.0,0.0,44.76022790953802,86.2785091183778
Walk,1965-1979,64,2.0,,25.0,0.0,23.00319846179879,160.83374152893165
Walk,1980-1999,52,2.0,,25.0,0.0,25.49675131061676,87.53438333896041
Way,1920s-40s,1146,2.0,2.0,25.0,0.029668411867364748,21.21026531637915,139.15860916774562
Way,postwar boom,944,2.0,2.0,25.0,0.04025423728813559,16.40650535999278,184.35893127228837
Way,1965-1979,2507,2.0,2.0,25.0,0.03191065017949741,15.085945924360725,190.02415705051197
Way,1980-1999,3716,2.0,2.0,25.0,0.06001076426264801,16.53351600858804,164.1190050710988
Way,2000+,3822,2.0,2.0,25.0,0.0630559916274202,16.94685860235984,171.01210096386376
